STRAIN,FileBase
DMC2_AF100-12_42,AF100-12_42_S10
DMC2_AF100-12_9,AF100-12_9_S9
DMC2_AF100-1_11,AF100-1_11_S14
DMC2_AF100-1_14,AF100-1_14_S15
DMC2_AF100-1_18,AF100-1_18_S17
DMC2_AF100-1_20_C,AF100-1_20_C_S19
DMC2_AF100-1_20_OE,AF100-1_20_OE_S18
DMC2_AF100-1_24,AF100-1_24_S20
DMC2_AF100-1_3,AF100-1_3_S11
DMC2_AF100-1_4,AF100-1_4_S12
DMC2_AF100-1_8,AF100-1_8_S13
DMC2_AF100-2B,AF100-2B_S1
DMC2_AF100-3B,AF100-3B_S2
DMC2_AF100-4B,AF100-4B_S3
DMC2_AF100-5B,AF100-5B_S4
DMC2_AF100-6B,AF100-6B_S5
DMC2_AF100-7B,AF100-7B_S6
DMC2_AF100-8B,AF100-8B_S7
DMC2_AF100-9B,AF100-9B_S8
DMC2_AF100-1_15,AF1001_15_S16
